"code","description","ctl_rows","iih_rows","ctl_pts","iih_pts","ctl_only","iih_only","currently"
"G40.901","Epilepsy, unspecified, not intractable, with status epilepticus (HCC)",3,0,1,0,0,0,"COUNTED"
"G40.911","Epilepsy Seizure Intractable With Status Epilepticus (HCC)",2,0,1,0,0,0,"COUNTED"
"G40.911","Epilepsy, unspecified, intractable, with status epilepticus (HCC)",1,0,1,0,0,0,"COUNTED"
"G40.A09","Absence Epilepsy Not Intractable Without Status Epilepticus (HCC)",3,0,1,0,0,0,"COUNTED"
"G40.A09","Absence epileptic syndrome, not intractable, without status epilepticus (HCC)",2,0,1,0,0,0,"COUNTED"
"G43.109","Migraine Headache Classic",0,1,0,1,0,0,"excluded"
"G43.109","Migraine With Aura Without Headache",0,1,0,1,0,0,"excluded"
"R56.1","Post traumatic seizures (HCC)",2,0,1,0,0,0,"excluded"
"R56.9","Unspecified convulsions",0,1,0,1,0,0,"COUNTED"
"Z82.0","Amyotrophic Lateral Sclerosis Family History",0,5,0,1,0,0,"excluded"
