"time_y","beta","lo","hi","hr","hr_lo","hr_hi"
0.670773442847365,1.80321281639428,1.08557683226479,2.52084880052377,6.0691151272336,2.9611474115626,12.4391505413701
0.673511293634497,1.79877995202178,1.08114396789229,2.51641593615127,6.04227110492629,2.94805009745588,12.3841315101578
0.681724845995893,1.78547354061573,1.06783755648624,2.50310952474522,5.9624027190362,2.90908196796978,12.2204346853727
0.68993839835729,1.77215665032603,1.05452066619654,2.48979263445552,5.88352840210105,2.87059884900846,12.0587752866572
0.711841204654346,1.736612845051,1.01897686092151,2.45424882918049,5.67807828312689,2.77035885104307,11.6376883728179
0.717316906228611,1.7277239349821,1.01008795085261,2.44535991911159,5.62783001293537,2.74584250358651,11.5347004109401
0.731006160164271,1.70550636319581,0.987870379066322,2.4231423473253,5.50417207184618,2.68550926150773,11.2812532917807
0.788501026694045,1.61247580744556,0.894839823316066,2.33011179157505,5.01521257045374,2.44694381472453,10.2790905845416
0.802190280629706,1.59044853124694,0.872812547117454,2.30808451537644,4.9059489062907,2.39363360235725,10.0551457196424
0.815879534565366,1.56849556977863,0.850859585649142,2.28613155390812,4.7994223637104,2.34165884339958,9.8368108105118
0.829568788501027,1.54663332990602,0.828997345776525,2.26426931403551,4.69563488789191,2.29102048691274,9.62408984395411
0.854209445585216,1.50755903365923,0.789923049529739,2.22519501778872,4.51569467169325,2.20322688038817,9.25528757363665
0.867898699520876,1.48603305025782,0.768397066128329,2.20366903438731,4.41952865055767,2.15630706446836,9.05818740519492
0.895277207392197,1.44344794067955,0.725811956550057,2.16108392480904,4.23527364309767,2.06640825270264,8.68054161536443
0.908966461327858,1.42242135202666,0.704785367897171,2.14005733615615,4.14715000286459,2.02341234906544,8.49992496794016
0.914442162902122,1.41406437288701,0.696428388757517,2.1317003570165,4.11263677084583,2.00657319450757,8.42918726075381
0.974674880219028,1.32437803034444,0.606742046214954,2.04201401447393,3.75984611741333,1.83444511515256,7.70611380512873
0.980150581793292,1.31644664002142,0.598810655891932,2.03408262415091,3.73014325849506,1.81995296234973,7.64523535318842
0.988364134154689,1.30462491302139,0.586988928891897,2.02226089715088,3.6863061489233,1.7985646477738,7.55538759221669
0.996577686516085,1.29289575457173,0.575259770442243,2.01053173870122,3.6433214599166,1.77759223286312,7.46728693729106
1.01300479123888,1.26972322552606,0.55208724139657,1.98735920965555,3.55986714563619,1.73687451347001,7.29624045738451
1.01574264202601,1.26589902924756,0.548263045118066,1.98353501337705,3.54627951239345,1.73024504868602,7.26839148568699
1.06502395619439,1.19900365984993,0.481367675720444,1.91663964397943,3.31681060432592,1.61828618006789,6.79807608843781
1.07049965776865,1.19180551370374,0.47416952957425,1.90944149783323,3.29302143851901,1.60667934360564,6.74931823683638
1.11978097193703,1.12925792402205,0.411621939892564,1.84689390815154,3.09336013994224,1.50926373604584,6.34009598643988
1.12799452429843,1.11923734181417,0.40160135768468,1.83687332594366,3.06251765825234,1.49421555638413,6.2768817839133
1.15263518138261,1.089896876395,0.372260892265513,1.80753286052449,2.97396737051284,1.45101148959087,6.09539068733965
1.17180013689254,1.06784118911451,0.350205204985024,1.785477173244,2.90909253560237,1.41935877820818,5.96242437826822
1.20465434633812,1.03161034228472,0.313974358155234,1.74924632641422,2.80558014327044,1.36885463613927,5.75026721793747
1.20739219712526,1.02868169856073,0.311045714431241,1.74631768269022,2.7973756185208,1.36485161317527,5.73345136977154
1.21834360027379,1.01710508842573,0.299469104296242,1.73474107255522,2.76517821953659,1.34914236352974,5.66746015282987
1.23203285420945,1.00294041386337,0.285304429733876,1.72057639799286,2.72628646473636,1.33016690884755,5.5877483031391
1.24298425735797,0.991848793099232,0.274212808969741,1.70948477722872,2.69621461027395,1.31549472152939,5.52611356448706
1.30321697467488,0.934462102062411,0.21682611793292,1.6520980861919,2.5458436853054,1.24212809955729,5.21791598814921
1.33333333333333,0.907938279616875,0.190302295487384,1.62557426374637,2.47920583139633,1.20961520361148,5.08133622665989
1.35249828884326,0.89177079468322,0.174134810553729,1.60940677881271,2.43944558611876,1.19021600868461,4.99984433431628
1.37440109514031,0.873976107370271,0.156340123240781,1.59161209149976,2.39642036024271,1.16922381566078,4.91166059574341
1.39082819986311,0.861116801623215,0.143480817493724,1.57875278575271,2.36580134967442,1.15428466852184,4.8489044156575
1.42368240930869,0.836661387220325,0.119025403090834,1.55429737134982,2.30864641953686,1.12639853192914,4.73176068625742
1.42642026009582,0.834699237309982,0.117063253180492,1.55233522143947,2.30412095044807,1.12419053606855,4.72248536521215
1.43463381245722,0.828882585466109,0.111246601336619,1.5465185695956,2.2907575837762,1.11767049191044,4.69509604629398
1.44010951403149,0.825063061004709,0.107427076875218,1.5426990451342,2.28202466756025,1.11340966447413,4.67719721636606
1.44558521560575,0.821290078433542,0.103654094304051,1.53892606256303,2.27343085061804,1.10921670417261,4.65958348183836
1.48939082819986,0.79276034842723,0.0751243642977395,1.51039633255672,2.20948697026025,1.07801820952598,4.52852524067882
1.50308008213552,0.784437245789335,0.0668012616598448,1.50207322991883,2.19117350158992,1.06908298928168,4.49099028064771
1.50855578370979,0.781185739762402,0.0635497556329111,1.49882172389189,2.18406045806215,1.06561250470707,4.47641151300296
1.56331279945243,0.751134988951629,0.0334990048221387,1.46877097308112,2.11940415231778,1.03406641464576,4.34389309742798
1.57152635181383,0.747011847895336,0.0293758637658458,1.46464783202483,2.11068354055309,1.02981159060422,4.32601948648476
1.61259411362081,0.727893993789865,0.0102580096603747,1.44552997791936,2.07071507356233,1.01031080340664,4.24410082661705
1.63997262149213,0.716549071474034,-0.00108691265545657,1.43418505560352,2.04735572744068,0.998913677820153,4.19622392580637
1.65639972621492,0.710301036350249,-0.00733494777924149,1.42793702047974,2.03460365612402,0.992691887298837,4.170087506988
1.67008898015058,0.70542633868439,-0.0122096454451006,1.42306232281388,2.02470971301346,0.987864589839854,4.1498090569636
1.70841889117043,0.693476735667532,-0.0241592484619582,1.41111271979702,2.00065921883367,0.97613025013888,4.10051559137184
1.72210814510609,0.689851982971078,-0.0277840011584123,1.40748796710057,1.99342045123246,0.972598424247315,4.08567914189974
1.73305954825462,0.687208391498439,-0.0304275926310518,1.40484437562793,1.98815762137723,0.970030666892809,4.07489253932748
1.74127310061602,0.685377338359146,-0.0322586457703448,1.40301332248864,1.98452052999319,0.968256114340799,4.06743802144301
1.77686516084873,0.678983744550134,-0.0386522395793565,1.39661972867962,1.97187278716843,0.962085226140048,4.04151543244816
1.79876796714579,0.676339522114835,-0.0412964620146552,1.39397550624433,1.96666560441379,0.959544619245602,4.03084288318464
1.80971937029432,0.675397198457963,-0.0422387856715275,1.39303318258745,1.96481324178922,0.958640843542552,4.02704631365826
1.83709787816564,0.674162181652894,-0.0434738024765966,1.39179816578238,1.96238816223204,0.957457636781261,4.02207591368161
1.927446954141,0.681208995426798,-0.0364269887026922,1.39884497955629,1.97626558454218,0.964228490899426,4.05051883190333
1.98767967145791,0.695071541524756,-0.0225644426047347,1.41270752565425,2.0038524274713,0.977688230387012,4.10706033506522
2.00958247775496,0.701870140559092,-0.0157658435703988,1.41950612468858,2.01752223175619,0.984357786776402,4.1350777230709
2.02053388090349,0.705616978099259,-0.0120190060302312,1.42325296222875,2.02509573928317,0.988052933719544,4.15060024954789
2.12731006160164,0.753263927036781,0.0356279429072902,1.47089991116627,2.12392103891541,1.03627022307195,4.35315082795184
2.18480492813142,0.785897032345826,0.0682610482163353,1.50353301647532,2.19437448301687,1.0706447619072,4.49755095531201
2.30800821355236,0.866480387974128,0.148844403844638,1.58411637210362,2.37852462018055,1.16049240700364,4.87498180484627
2.31895961670089,0.874084901783455,0.156448917653965,1.59172088591295,2.39668109157234,1.16935102759953,4.9121949860445
2.37645448323066,0.914689853671928,0.197053869542437,1.63232583780142,2.49600100629941,1.21780964178712,5.11575931875953
2.45037645448323,0.96840659630929,0.250770612179799,1.68604258043878,2.63374449592396,1.2850152836658,5.39807592795433
